hour,season,count
0,fall,86.62765957446808
0,springer,35.714285714285715
0,summer,67.83695652173913
0,winter,67.68181818181819
1,fall,50.851063829787236
1,springer,23.824175824175825
1,summer,41.858695652173914
1,winter,43.758620689655174
2,fall,35.212765957446805
2,springer,16.677777777777777
2,summer,26.793478260869566
2,winter,27.75862068965517
3,fall,17.329787234042552
3,springer,8.670588235294117
3,summer,13.428571428571429
3,winter,13.470588235294118
4,fall,9.702127659574469
4,springer,3.8181818181818183
4,summer,6.736263736263736
4,winter,8.620689655172415
5,fall,32.638297872340424
5,springer,15.219780219780219
5,summer,23.41304347826087
5,winter,28.701149425287355
6,fall,121.13829787234043
6,springer,57.494505494505496
6,summer,98.23913043478261
6,winter,99.70114942528735
7,fall,334.1063829787234
7,springer,163.53846153846155
7,summer,281.4673913043478
7,winter,288.02298850574715
8,fall,517.3617021276596
8,springer,318.0659340659341
8,summer,478.2173913043478
8,winter,505.3103448275862
9,fall,314.3404255319149
9,springer,187.74725274725276
9,summer,297.9891304347826
9,winter,297.7471264367816
10,fall,265.0425531914894
10,springer,131.17582417582418
10,summer,239.54347826086956
10,winter,228.24137931034483
11,fall,307.5851063829787
11,springer,159.4945054945055
11,summer,291.9021739130435
11,winter,280.91954022988506
12,fall,367.20212765957444
12,springer,200.6043956043956
12,summer,346.5108695652174
12,winter,351.32183908045977
13,fall,361.0851063829787
13,springer,207.37362637362637
13,summer,352.04347826086956
13,winter,345.21590909090907
14,fall,341.28723404255317
14,springer,192.54945054945054
14,summer,332.6630434782609
14,winter,329.1136363636364
15,fall,348.71276595744683
15,springer,204.96703296703296
15,summer,350.1304347826087
15,winter,351.3181818181818
16,fall,446.8936170212766
16,springer,248.82417582417582
16,summer,428.5217391304348
16,winter,432.39772727272725
17,fall,691.9148936170212
17,springer,355.25274725274727
17,summer,642.4239130434783
17,winter,599.5113636363636
18,fall,655.2446808510638
18,springer,329.5054945054945
18,summer,601.7826086956521
18,winter,520.9659090909091
19,fall,503.1595744680851
19,springer,230.04395604395606
19,summer,443.8695652173913
19,winter,362.72727272727275
20,fall,373.0851063829787
20,springer,162.72527472527472
20,summer,316.3152173913044
20,winter,258.5568181818182
21,fall,282.74468085106383
21,springer,126.4065934065934
21,summer,233.8586956521739
21,winter,192.88636363636363
22,fall,215.5744680851064
22,springer,94.08791208791209
22,summer,177.6086956521739
22,winter,145.10227272727272
23,fall,145.40425531914894
23,springer,58.395604395604394
23,summer,116.55434782608695
23,winter,103.63636363636364
