hour,season,count
0,fall,61.064516129032256
0,springer,18.71264367816092
0,summer,45.84782608695652
0,winter,45.1123595505618
1,fall,36.43478260869565
1,springer,12.195402298850574
1,summer,28.58695652173913
1,winter,28.258426966292134
2,fall,26.152173913043477
2,springer,8.425
2,summer,19.967391304347824
2,winter,19.818181818181817
3,fall,14.141304347826088
3,springer,5.225352112676056
3,summer,9.472527472527473
3,winter,10.306818181818182
4,fall,6.763440860215054
4,springer,2.3333333333333335
4,summer,5.674157303370786
4,winter,5.943820224719101
5,fall,20.204301075268816
5,springer,5.5625
5,summer,14.87912087912088
5,winter,16.617977528089888
6,fall,81.27956989247312
6,springer,23.32183908045977
6,summer,59.90217391304348
6,winter,64.06741573033707
7,fall,219.08510638297872
7,springer,65.60227272727273
7,summer,161.5
7,winter,176.46067415730337
8,fall,325.2340425531915
8,springer,149.4431818181818
8,summer,282.05434782608694
8,winter,289.8314606741573
9,fall,195.5212765957447
9,springer,104.89772727272727
9,summer,169.97826086956522
9,winter,182.4494382022472
10,fall,164.79787234042553
10,springer,68.20454545454545
10,summer,140.0108695652174
10,winter,147.6067415730337
11,fall,195.80851063829786
11,springer,80.23863636363636
11,summer,170.97826086956522
11,winter,173.04494382022472
12,fall,233.41489361702128
12,springer,99.73033707865169
12,summer,210.57608695652175
12,winter,213.57303370786516
13,fall,231.0
13,springer,104.53932584269663
13,summer,213.41304347826087
13,winter,209.96629213483146
14,fall,223.18085106382978
14,springer,102.0561797752809
14,summer,198.8913043478261
14,winter,203.61797752808988
15,fall,228.10638297872342
15,springer,105.23595505617978
15,summer,208.3695652173913
15,winter,209.12359550561797
16,fall,292.63829787234044
16,springer,115.06666666666666
16,summer,265.29347826086956
16,winter,262.3707865168539
17,fall,452.36170212765956
17,springer,171.6888888888889
17,summer,395.2717391304348
17,winter,374.07865168539325
18,fall,438.03225806451616
18,springer,147.47191011235955
18,summer,364.5652173913044
18,winter,332.39325842696627
19,fall,334.258064516129
19,springer,100.03370786516854
19,summer,273.45652173913044
19,winter,232.07865168539325
20,fall,251.98924731182797
20,springer,71.9438202247191
20,summer,197.65217391304347
20,winter,166.24719101123594
21,fall,199.66666666666666
21,springer,56.1123595505618
21,summer,149.25
21,winter,130.12359550561797
22,fall,152.1720430107527
22,springer,43.57303370786517
22,summer,114.6195652173913
22,winter,102.26966292134831
23,fall,100.19354838709677
23,springer,30.1123595505618
23,summer,75.41304347826087
23,winter,69.43820224719101
